id;start_date;end_date;language
1;2020-12-08T09:00:59;2020-12-08T06:51:14;SPANISH
2;2020-12-07T13:51:10;2020-12-08T08:55:35;SPANISH
3;2020-12-08T04:46:29;2020-12-07T15:20:38;FRENCH
4;2020-12-07T20:04:00;2020-12-08T07:35:26;FRENCH
5;2020-12-08T05:34:18;2020-12-08T10:21:17;FRENCH
6;2020-12-07T23:26:39;2020-12-08T11:34:53;FRENCH
7;2020-12-08T01:11:59;2020-12-07T19:02:50;FRENCH
8;2020-12-08T00:08:12;2020-12-08T10:24:20;SPANISH
9;2020-12-07T22:49:21;2020-12-07T19:30:44;SPANISH
10;2020-12-08T07:01:25;2020-12-07T17:35:55;SPANISH
